,Month,AAPL,GOOG,IBM
0,Jan,117.160004,534.5224450000002,153.309998
1,Feb,128.46000700000002,558.402511,161.940002
2,Mar,124.43,548.002468,160.5
3,Apr,125.150002,537.340027,171.28999299999995
4,May,130.279999,532.1099849999998,169.649994
5,Jun,125.43,520.51001,162.660004
6,Jul,121.300003,625.6099849999998,161.990005
7,Aug,112.760002,618.25,147.889999
8,Sep,110.300003,608.419983,144.970001
9,Oct,119.5,710.8099980000002,140.080002
10,Nov,118.300003,742.599976,139.419998
11,Dec,105.260002,758.880005,137.619995
